[2017-04-06 12:34:34] WeeChat 1.6 (compiled on Feb 12 2017 03:59:54)
[2017-04-06 12:34:34] Reading configuration file sec.conf
[2017-04-06 12:34:34] Reading configuration file weechat.conf
[2017-04-06 12:34:34] Reading configuration file plugins.conf
[2017-04-06 12:34:34] Reading configuration file charset.conf
[2017-04-06 12:34:34] Reading configuration file logger.conf
[2017-04-06 12:34:34] Reading configuration file exec.conf
[2017-04-06 12:34:34] Reading configuration file trigger.conf
[2017-04-06 12:34:34] Reading configuration file aspell.conf
[2017-04-06 12:34:34] Reading configuration file alias.conf
[2017-04-06 12:34:34] Reading configuration file xfer.conf
[2017-04-06 12:34:34] Reading configuration file irc.conf
[2017-04-06 12:34:34] Reading configuration file relay.conf
[2017-04-06 12:34:34] Reading configuration file buffers.conf
[2017-04-06 12:34:34] Reading configuration file script.conf
[2017-04-06 12:34:34] irc: connecting to server chat.freenode.net/6667...
[2017-04-06 12:34:39] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 19:01:36] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 19:02:01] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 19:02:46] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 19:04:11] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 19:06:56] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 19:12:21] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 19:22:21] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 19:32:26] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 19:42:31] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 19:52:31] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 20:02:36] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 20:12:41] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 20:22:46] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 20:32:51] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 20:42:56] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 20:53:01] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 21:03:06] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 21:13:11] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 21:23:16] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 21:33:21] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 21:43:21] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 21:53:26] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 22:03:26] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 22:13:26] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 22:23:31] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 22:33:31] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 22:43:36] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 22:53:41] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 23:03:41] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 23:13:41] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 23:23:46] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 23:33:46] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 23:43:51] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-09 23:53:56] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 00:04:01] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 00:14:06] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 00:24:11] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 00:34:16] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 00:44:21] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 00:54:21] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 01:04:26] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 01:14:31] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 01:24:36] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 01:34:41] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 01:44:46] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 01:54:51] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 02:04:51] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 02:14:56] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 02:25:01] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 02:35:01] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 02:45:06] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 02:55:11] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 03:05:16] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 03:15:21] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 03:25:26] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 03:35:31] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 03:45:36] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 03:55:36] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 04:05:36] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 04:15:36] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 04:25:41] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 04:35:46] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 04:45:51] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 04:55:51] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 05:05:51] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 05:15:56] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 05:26:01] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 05:36:06] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 05:46:06] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 05:56:06] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 06:06:11] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 06:16:16] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 06:26:21] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 06:36:26] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 06:46:31] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 06:56:31] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 07:06:36] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 07:16:41] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 07:26:46] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 07:36:56] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 07:47:01] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 07:57:06] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 08:07:11] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 08:17:11] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 08:27:16] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 08:37:21] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 08:47:26] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 08:57:31] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 09:07:36] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 09:17:41] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 09:27:46] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 09:37:51] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 09:47:56] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 09:58:01] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 10:08:06] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 10:18:11] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 10:28:11] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 10:38:16] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 10:48:21] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 10:58:26] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 11:08:31] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 11:18:36] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 11:28:41] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 11:38:46] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 11:48:51] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 11:58:56] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 21:52:54] irc: connecting to server chat.freenode.net/6667...
[2017-04-10 22:04:39] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 22:04:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 22:05:39] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 22:06:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 22:09:39] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 22:14:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 22:24:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 22:34:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 22:44:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 22:54:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 23:04:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 23:14:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 23:24:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 23:34:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 23:44:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-10 23:54:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 00:04:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 00:14:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 00:24:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 00:34:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 00:44:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 00:54:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 01:04:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 01:14:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 01:24:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 01:34:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 01:44:59] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 01:55:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 02:05:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 02:15:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 02:25:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 02:35:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 02:45:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 02:55:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 03:05:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 03:15:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 03:25:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 03:35:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 03:45:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 03:55:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 04:05:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 04:15:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 04:25:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 04:35:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 04:45:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 04:55:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 05:05:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 05:15:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 05:25:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 05:35:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 05:45:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 05:55:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 06:05:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 06:15:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 06:25:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 06:35:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 06:45:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 06:55:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 07:05:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 07:15:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 07:25:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 07:35:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 07:45:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 07:55:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 08:05:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 08:15:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 08:25:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 08:35:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 08:45:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 08:55:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 09:05:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 09:15:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 09:25:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 09:35:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 09:45:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 09:55:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 10:05:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 10:15:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 10:25:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 10:35:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 10:45:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 10:55:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 11:05:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 11:15:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 11:25:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 11:35:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 11:45:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 11:55:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 12:05:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 12:15:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 12:25:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 12:35:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 12:45:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 12:55:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 13:05:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 13:15:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 13:25:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 13:35:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 13:45:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 13:55:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 14:05:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 14:15:02] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 14:25:08] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 14:35:08] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 14:45:08] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 14:55:08] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 15:05:08] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 15:15:08] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 15:25:08] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 15:35:08] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 15:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 15:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 16:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 16:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 16:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 16:35:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 16:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 16:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 17:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 17:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 17:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 17:35:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 17:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 17:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 18:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 18:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 18:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 18:35:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 18:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 18:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 19:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 19:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 19:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 19:35:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 19:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 19:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
